country,income,employ_above_15,agr,ind,ser,education,region,log_income,log_agr
Seychelles,7721.541646,52.77826068695652,,,,11.1,Africa,8.951769318160133,
Sierra Leone,242.8925156,63.79999924,,,,1.3,Africa,5.492619022853291,
Singapore,29925.50494,51.09999847,0.800000012,16.79999924,82.40000153,5.9,Asia-Pacific,10.306466403800943,-0.22314353631420983
Slovak Republic,7334.109759,43.29999924,2.400000095,24.79999924,72.80000305,11.7,,8.900291314295124,0.8754687769372326
Slovenia,12588.10838,50.59999847,9.199999809,23.39999962,67.19999695,11.2,Eastern Europe,9.440507867934333,2.2192034632941247
Solomon Islands,1014.873466,51.59999847,,,,4.5,Asia-Pacific,6.922519219665272,
Somalia,,50.5,,,,0.8,Africa,6.437729182185081,
South Africa,3548.09031,32.90000153,7.800000191,13.69999981,78.40000153,8.0,Africa,8.174164796882303,2.054123758182725
South Korea,14446.3586,,,,,,Asia-Pacific,9.578197661783243,
Spain,16074.46178,41.90000153,3.299999952,11.60000038,85.09999847,8.5,Western Europe and Other,9.684987066741249,1.19392245392698
Sri Lanka,1075.625538,38.59999847,37.90000153,0.800000012,33.0,8.8,Asia-Pacific,6.9806576671399965,3.634951152457773
St. Kitts and Nevis,10607.8774,,,,,,,9.269352155043624,
St. Lucia,5315.874333,,,,,,,8.578452780163202,
St. Vincent and the Grenadines,4872.784507,,,,,,,8.491420820031093,
Sudan,464.1288726,27.5,,,,2.7,Africa,6.140162256335313,
Suriname,2422.818519,31.29999924,,,,6.7,Latin America and Caribbean,7.792686818713043,
Swaziland,1715.684609,47.09999847,,,,6.7,Africa,7.447567468866623,
Sweden,32431.9404,56.29999924,0.899999976,9.300000191,89.59999847,12.5,Western Europe and Other,10.386899030998924,-0.10536054232449328
Switzerland,37877.18249,57.09999847,2.700000048,12.0,85.40000153,12.4,Western Europe and Other,10.54210416464985,0.993251790788061
Syria,1368.930491,16.29999924,,,,4.6,,7.2217850504420875,
Taiwan,,46.5,,,,10.3,,,
Tajikistan,180.0892749,47.5,,,,10.0,Asia-Pacific,5.193452699603583,
Tanzania,394.224159,76.09999847,80.0,2.099999905,17.89999962,3.6,,5.976919678989863,4.382026634673881
Thailand,2458.517431,65.09999847,40.5,19.0,40.29999924,6.2,Asia-Pacific,7.807313776922446,3.7013019741124933
Timor-Leste,299.8856849,53.29999924,,,,1.7,Asia-Pacific,5.703401351704741,
Togo,257.4007154,48.59999847,,,,2.1,Africa,5.550634074489944,
Tonga,2067.535705,,,,,11.1,Asia-Pacific,7.634112696398063,
Trinidad and Tobago,10264.67428,53.20000076,,,,9.3,Latin America and Caribbean,9.23646359782441,
Tunisia,2776.257059,21.5,,,,4.0,Africa,7.928858917843856,
Turkey,5154.661097,22.29999924,48.5,15.0,36.5,5.3,Western Europe and Other,8.547656651709902,3.8815637979434374
Turkmenistan,860.7116809,53.40000153,,,,10.4,Asia-Pacific,6.757759582958714,
Tuvalu,1457.394721,,,,,,Asia-Pacific,7.284405683025697,
Uganda,323.0773993,79.80000305,,,,3.3,Africa,5.777891920832646,
Ukraine,1037.312259,48.29999924,,,,11.9,Eastern Europe,6.9443882805497665,
United Arab Emirates,31929.79817,36.0,,,,7.7,Asia-Pacific,10.37129496467413,
United Kingdom,28913.09629,53.09999847,0.600000024,9.600000381,89.5,12.8,Western Europe and Other,10.272049930278602,-0.5108255837659915
United States,38349.39879,56.0,0.800000012,9.399999619,89.80000305,13.5,Western Europe and Other,10.554494129749441,-0.22314353631420983
