country,income,employ_above_15,agr,ind,ser,education,region
Saudi Arabia,9440.180027,17.0,0.400000006,1.0,98.5,4.4,Asia-Pacific
Senegal,539.4896428,56.29999924,33.0,4.900000095,42.0,1.3,Africa
Serbia,1102.68089,,19.20000076,18.70000076,62.09999847,9.6,Eastern Europe
Serbia and Montenegro,,39.09999847,,,,,
Seychelles,7721.541646,,,,,11.1,Africa
Sierra Leone,242.8925156,63.79999924,,,,1.3,Africa
Singapore,29925.50494,51.09999847,0.800000012,16.79999924,82.40000153,5.9,Asia-Pacific
Slovak Republic,7334.109759,43.29999924,2.400000095,24.79999924,72.80000305,11.7,
Slovenia,12588.10838,50.59999847,9.199999809,23.39999962,67.19999695,11.2,Eastern Europe
Solomon Islands,1014.873466,51.59999847,,,,4.5,Asia-Pacific
Somalia,,50.5,,,,0.8,Africa
South Africa,3548.09031,32.90000153,7.800000191,13.69999981,78.40000153,8.0,Africa
Spain,16074.46178,41.90000153,3.299999952,11.60000038,85.09999847,8.5,Western Europe and Other
Sri Lanka,1075.625538,38.59999847,37.90000153,0.800000012,33.0,8.8,Asia-Pacific
Sudan,464.1288726,27.5,,,,2.7,Africa
Suriname,2422.818519,31.29999924,,,,6.7,Latin America and Caribbean
Swaziland,1715.684609,47.09999847,,,,6.7,Africa
Sweden,32431.9404,56.29999924,0.899999976,9.300000191,89.59999847,12.5,Western Europe and Other
Switzerland,37877.18249,57.09999847,2.700000048,12.0,85.40000153,12.4,Western Europe and Other
Syria,1368.930491,16.29999924,,,,4.6,
Taiwan,,46.5,,,,10.3,
Tajikistan,180.0892749,47.5,,,,10.0,Asia-Pacific
Tanzania,394.224159,76.09999847,80.0,2.099999905,17.89999962,3.6,
Thailand,2458.517431,65.09999847,40.5,19.0,40.29999924,6.2,Asia-Pacific
Timor-Leste,299.8856849,53.29999924,,,,1.7,Asia-Pacific
Togo,257.4007154,48.59999847,,,,2.1,Africa
Tonga,2067.535705,,,,,11.1,Asia-Pacific
Trinidad and Tobago,10264.67428,53.20000076,,,,9.3,Latin America and Caribbean
Tunisia,2776.257059,21.5,,,,4.0,Africa
Turkey,5154.661097,22.29999924,48.5,15.0,36.5,5.3,Western Europe and Other
Turkmenistan,860.7116809,53.40000153,,,,10.4,Asia-Pacific
Tuvalu,1457.394721,,,,,,Asia-Pacific
Uganda,323.0773993,79.80000305,,,,3.3,Africa
Ukraine,1037.312259,48.29999924,,,,11.9,Eastern Europe
United Arab Emirates,31929.79817,36.0,,,,7.7,Asia-Pacific
United Kingdom,28913.09629,53.09999847,0.600000024,9.600000381,89.5,12.8,Western Europe and Other
United States,38349.39879,56.0,0.800000012,9.399999619,89.80000305,13.5,Western Europe and Other
Uruguay,7233.906191,44.79999924,5.199999809,12.5,82.30000305,9.7,Latin America and Caribbean
Uzbekistan,725.3469456,51.70000076,,,,10.9,Asia-Pacific
Vanuatu,1418.075283,,,,,5.8,Asia-Pacific
Venezuela,5401.421719,45.70000076,1.799999952,11.39999962,85.80000305,8.4,Latin America and Caribbean
West Bank and Gaza,,11.5,34.29999924,8.800000191,55.29999924,7.3,
Vietnam,581.5782774,67.90000153,,,,6.5,Asia-Pacific
Yemen,573.8957089,,,,,,Asia-Pacific
Zambia,372.0836755,53.90000153,,,,4.8,Africa
Zimbabwe,351.1720467,58.79999924,,,,6.2,Africa
Central African Rep.,,63.09999847,,,,1.9,Africa
Czech Rep.,,46.09999847,2.799999952,27.0,70.09999847,13.1,
Dominican Rep.,,40.29999924,,,,7.2,
"Korea, Dem. Rep.",,56.0,,,,,
"Korea, Rep.",,48.59999847,8.600000381,16.0,75.30000305,11.4,
Kyrgyzstan,,48.70000076,35.40000153,10.69999981,53.79999924,11.0,Asia-Pacific
Laos,,78.09999847,,,,2.3,Asia-Pacific
"Yemen, Rep.",,20.5,,,,0.6,
Saint Lucia,,,,,,9.0,Latin America and Caribbean
